index,subject,gender,filename,interval,task,attitude,intst,inted,f0md,f0mn,f0sd,f0mx,f0mi,f0range,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr,h1h2mn,h1h2md,h1h2sd,h1h2cI,h1h2cH,h1a3,h1a3cI,h1a3cH,f0mnf
213,M6,M,Korean_M6,note_1_2_impol,not,inf,476.427,512.299,80.7,118.6,4.64,7.6,-2.1,9.6,64.5,24.8,0.03,0.01257,0.01326,0.0023,0.08539,0.10607,0.02643,5.78,-26.4,-16.3,16.8,0.072,0.02964,0.01234,0.08445,0.02605,NA,NA,NA,3.2,12.27,-39.28,-2.19,29.83,116.7
214,M6,M,Korean_M6,note_2_1_impol,not,inf,573.594,636.579,80.7,115.2,4.22,7.6,-2.9,10.5,62.7,27.8,0.0343,0.01359,0.01546,0.0022,0.09011,0.08912,0.02794,5.75,-26.6,-18.5,16,0.0786,0.03423,0.01352,0.08952,0.02771,NA,NA,NA,5.44,13.89,-43.36,1.01,35.24,111.4
215,M6,M,Korean_M6,note_2_2_pol,not,pol,701.642,783.654,80.8,115.8,4.41,7.1,-2.9,10,62.7,25.8,0.03409,0.01441,0.01501,0.0023,0.08654,0.08849,0.02692,6.16,-27,-15.9,16.5,0.08,0.03397,0.01432,0.08613,0.02673,NA,NA,NA,4.17,12.76,-42.38,1.43,32.88,114.1
216,M6,M,Korean_M6,dct_1_1_pol,dct,pol,1069.673,1084.426,79.9,112.7,4.67,6.4,-2.7,9.1,62.5,26,0.03054,0.01337,0.01272,0.0024,0.08698,0.10119,0.02795,7.16,-28.7,-16.9,16.9,0.0725,0.03023,0.0132,0.0865,0.02775,NA,NA,NA,3.94,17.11,-41.65,-0.34,31.07,94.6
217,M6,M,Korean_M6,dct_1_2_impol,dct,inf,1139.29,1154.624,79.6,106,3.71,5.6,-2.9,8.5,60.7,25.1,0.03997,0.01831,0.01602,0.0021,0.11729,0.14041,0.04221,5.54,-27.6,-11.7,14.9,0.095,0.04002,0.01826,0.11683,0.04178,NA,NA,NA,5.23,15.5,-45.68,-0.51,36.78,116.2
218,M6,M,Korean_M6,dct_2_1_pol,dct,pol,1198.748,1214.406,79.7,107.2,3.59,4.4,-2.7,7,64,21.9,0.02651,0.01055,0.01337,0.002,0.11314,0.14854,0.03641,5.92,-28.2,-14,15.4,0.0743,0.02632,0.01043,0.11241,0.03615,NA,NA,NA,5.47,15.48,-42.74,0.72,30.09,127.2
219,M6,M,Korean_M6,dct_2_2_impol,dct,inf,1264.151,1268.902,80.5,125,6.4,5.1,-2.2,7.3,65.4,24.8,0.04409,0.01876,0.02215,0.0032,0.12254,0.16071,0.03516,7.91,-24,-15,12.9,0.1161,0.04358,0.01817,0.1208,0.0343,NA,NA,NA,6.53,13.27,-31.97,3.73,36.77,91.9
220,M6,M,Korean_M6,dct_3_1_pol,dct,pol,1318.414,1332.247,80.5,122,5.43,6.7,-2.1,8.8,61.4,25.2,0.03236,0.01408,0.01584,0.0027,0.09488,0.1021,0.03084,5.11,-26.5,-10.1,15.2,0.0939,0.03202,0.01394,0.09308,0.0303,NA,NA,NA,6.12,12.35,-37.93,-0.3,36.89,103.7
221,M6,M,Korean_M6,dct_3_2_impol,dct,inf,1357.078,1366.794,81.3,118.6,4.17,6.8,-1.2,8,61.8,26.4,0.03007,0.01217,0.01278,0.0019,0.09066,0.08898,0.03179,7.17,-27.9,-16,16.6,0.0722,0.02986,0.01209,0.08947,0.03054,NA,NA,NA,4.51,13.3,-45.07,0.05,37.84,127.7
222,M6,M,Korean_M6,dct_4_1_pol,dct,pol,1411.685,1418.01,81.9,123.8,4.36,8.7,-2,10.7,63.1,22.9,0.02712,0.01109,0.01339,0.0022,0.07642,0.08334,0.02305,11.06,-27.4,-10.9,17.7,0.0731,0.02672,0.01097,0.07643,0.02308,NA,NA,NA,5.89,16.26,-44.42,0,37.23,97.3
223,M6,M,Korean_M6,dct_4_2_impol,dct,inf,1445.845,1450.856,82.9,130.1,4.62,7.3,-1.4,8.7,62.8,20.9,0.02413,0.00982,0.01101,0.0021,0.07274,0.09043,0.02293,6.43,-25.7,-11.8,18.1,0.0463,0.02395,0.00973,0.0728,0.02305,NA,NA,NA,3.63,17.5,-32.79,0,33.9,152.9
224,M6,M,Korean_M6,dct_5_1_pol,dct,pol,1524.111,1536.068,79.4,107.1,4.07,5.1,-2.5,7.6,63.6,21.3,0.03128,0.01377,0.01487,0.0023,0.09954,0.10231,0.0329,7.19,-26.9,-15.1,15.2,0.0877,0.03106,0.01361,0.09804,0.03234,NA,NA,NA,5.18,11.88,-43.74,6.1,38.35,90.1
225,M6,M,Korean_M6,dct_5_2_impol,dct,inf,1567.61,1581.055,81.2,123.9,5.29,8.2,-1.7,9.8,62.7,25.5,0.03055,0.01292,0.01355,0.0026,0.08649,0.10322,0.02721,8.51,-27.2,-16.9,16.3,0.0742,0.02996,0.01245,0.08497,0.02655,NA,NA,NA,6.5,12.94,-42.13,1.4,38.2,100
227,M7,M,Korean_M7,note_1_1_pol,not,pol,224.989,279.558,79.7,105.1,3.11,6.1,-3.6,9.7,63.7,24.6,0.02353,0.00789,0.01145,0.0018,0.07665,0.09158,0.02361,5.16,-21.9,-17.7,15.5,0.0686,0.0235,0.00787,0.07657,0.02358,NA,NA,NA,3.94,8.58,-36.73,0.34,28.41,92.2
228,M7,M,Korean_M7,note_1_2_impol,not,inf,365.27,431.66,81.8,117.9,3.46,8.4,-2.6,11.1,66.2,24.5,0.02423,0.00824,0.01147,0.0017,0.07951,0.09727,0.02322,5.67,-20.4,-19.5,14.8,0.0769,0.02423,0.00823,0.07949,0.02322,NA,NA,NA,4.87,9.43,-33.33,-0.002,26.32,90.6
229,M7,M,Korean_M7,note_2_1_impol,not,inf,512.758,568.82,80.8,112.6,3.69,7.6,-3.4,11,62.8,28.9,0.02922,0.0108,0.01329,0.0019,0.08033,0.09473,0.02562,5.74,-21.4,-19.5,14.4,0.085,0.02919,0.01077,0.08015,0.02556,NA,NA,NA,4.61,9.84,-36.51,0.32,26.69,121.8
230,M7,M,Korean_M7,note_2_2_pol,not,pol,620.89,670.735,81.3,114.4,3.61,7.7,-3.5,11.2,64.3,26.6,0.02624,0.00952,0.01165,0.0019,0.07857,0.09522,0.02301,6.48,-21.5,-18.4,15.4,0.074,0.02623,0.00951,0.07855,0.02301,NA,NA,NA,5.46,10.57,-35.78,-0.17,26.67,84.9
231,M7,M,Korean_M7,dct_1_1_pol,dct,pol,713.657,735.296,77.9,94.4,2.85,3.6,-4.4,8,59.6,24.6,0.02759,0.01087,0.01268,0.0018,0.07991,0.0681,0.02488,5.02,-22.7,-16.9,15.9,0.0712,0.02755,0.01086,0.07979,0.02477,NA,NA,NA,2.94,8.02,-40.44,0.66,31.33,82.1
232,M7,M,Korean_M7,dct_1_2_impol,dct,inf,772.909,793.809,79.1,100.5,2.77,4.7,-3.8,8.5,60.8,24.8,0.02512,0.01016,0.01226,0.0016,0.08139,0.09147,0.02732,4.07,-21.5,-17.3,15.5,0.0696,0.02508,0.01014,0.08125,0.02729,NA,NA,NA,3.22,8.69,-38.53,-1.02,29.31,91.5
233,M7,M,Korean_M7,dct_2_1_pol,dct,pol,817.373,834.232,78,98.3,3.75,5.7,-4.5,10.2,60.7,26.2,0.02111,0.00813,0.01014,0.0023,0.076,0.09507,0.02286,2.25,-22.1,-18.1,16.6,0.0577,0.02093,0.00803,0.07583,0.02275,NA,NA,NA,0.8,5.59,-38.21,0,31.11,76.9
234,M7,M,Korean_M7,dct_2_2_impol,dct,inf,865.293,873.777,82.2,122,3.95,8.1,-1.4,9.4,60.8,21.8,0.02527,0.00967,0.0125,0.0019,0.09383,0.11588,0.03277,9.98,-22.9,-16,14.5,0.078,0.02527,0.00967,0.09383,0.03277,NA,NA,NA,9.5,13.58,-35.54,0.02,31.84,100.6
235,M7,M,Korean_M7,dct_3_1_pol,dct,pol,907.99,919.015,80.4,111.4,4.27,7.1,-3.8,10.9,61.4,25.2,0.02934,0.01141,0.01242,0.0024,0.08209,0.10428,0.02714,9.02,-20.3,-21,14.7,0.0886,0.02921,0.01135,0.08217,0.02716,NA,NA,NA,3.2,9.06,-37.46,-0.21,29.8,85.9
236,M7,M,Korean_M7,dct_3_2_impol,dct,inf,936.379,945.361,81.4,113.4,3.02,4.7,-1.8,6.5,62.7,26.6,0.02868,0.01173,0.01325,0.0015,0.09457,0.09987,0.03293,3.51,-21.2,-21.2,14.1,0.094,0.02861,0.01171,0.09457,0.03289,NA,NA,NA,2.93,8.97,-40.67,0.51,29.95,99
237,M7,M,Korean_M7,dct_4_1_pol,dct,pol,977.578,984.998,82.3,118.4,3.54,8.4,-3.2,11.6,63.1,21.3,0.02093,0.00767,0.00968,0.0018,0.06568,0.08299,0.02079,6.7,-21.3,-20.2,17.3,0.0496,0.02093,0.00767,0.06568,0.02079,NA,NA,NA,3.64,16.01,-33.99,0,25.08,91.6
238,M7,M,Korean_M7,dct_4_2_impol,dct,inf,1011.016,1017.103,82.5,126.6,4.06,9.9,-1.4,11.2,62.6,23.3,0.02632,0.0099,0.01227,0.0019,0.07775,0.09247,0.02508,1.97,-19.2,-22.9,15,0.0799,0.02609,0.00971,0.07737,0.02484,NA,NA,NA,4.74,12.14,-32.57,0,25.43,88.7
239,M7,M,Korean_M7,dct_5_1_pol,dct,pol,1042.994,1052.493,79.8,107.3,3.28,5.9,-2.9,8.8,63.4,22,0.02541,0.00774,0.01123,0.0019,0.07259,0.07258,0.02393,5.53,-24.6,-18.9,15.8,0.0648,0.02541,0.00774,0.07259,0.02393,NA,NA,NA,2.84,8.62,-37.71,0,27.46,91.1
240,M7,M,Korean_M7,dct_5_2_impol,dct,inf,1076.495,1081.437,79.3,101.6,3.5,2.4,-3.7,6.1,61.4,22.4,0.02626,0.01026,0.01179,0.0021,0.08011,0.08548,0.02923,1.88,-23.9,-19,15.2,0.0707,0.02623,0.01021,0.08015,0.0293,NA,NA,NA,2.68,8.76,-36.49,0,28.4,91.8
