language,gender,task,langtask,speaker,scenario,condition1,condition2,dur,notes,f0mnhz,f0mdhz,f0sdhz,f0mihz,f0mahz,f0rghz,f0mnvst,f0mdvst,f0sdvst,f0mivst,f0mavst,f0rgvst,inmn,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr
Korean,F,epr,epr_kor,4,8,pan,casual,9.016,,200.8,196.1,44.8,127.2,372.4,245.2,91.38,91.39,3.79,4.19,22.76,18.57,73.5,70,41.4,0.01392,0.00315,0.00601,0.0011,0.08831,0.08381,0.02384,2.84,-14.3,-19.7,15.5,0.1167,0.01392,0.00315,0.08831,0.02384
Korean,F,epr,epr_kor,4,9,con,polite,10.491,,196.5,183.8,44.2,129.3,356.2,226.9,91.01,90.26,3.74,4.45,21.98,17.53,72.9,69.3,38.5,0.01164,0.00294,0.00567,0.0011,0.07593,0.06809,0.02431,3.58,-14.2,-19,15.9,0.1078,0.01164,0.00294,0.07593,0.02431
Korean,F,epr,epr_kor,4,9,pan,casual,8.583,,209.7,202.4,45.8,124.2,355.2,231,92.16,91.93,3.64,3.75,21.94,18.19,73.4,68.8,37.4,0.0118,0.00263,0.00486,0.0011,0.08128,0.0831,0.02411,2.8,-13.6,-20.6,15.6,0.1122,0.0118,0.00263,0.0813,0.02412
Korean,F,epr,epr_kor,5,10,con,polite,7.834,,223.6,219.6,34.3,147.8,313,165.2,93.46,93.35,2.64,6.76,19.75,12.99,69.2,66.8,35,0.01095,0.00281,0.00526,0.0008,0.07338,0.06351,0.02217,3.42,-15.4,-18.3,15.8,0.1081,0.01095,0.00281,0.07338,0.02217
Korean,F,epr,epr_kor,5,10,pan,casual,6.897,,224.2,220.8,38.3,143.7,317.9,174.2,93.45,93.44,2.93,6.28,20.02,13.74,69.5,66.2,36.4,0.01085,0.00289,0.0054,0.0009,0.08478,0.07963,0.02547,2.16,-13.4,-19,15,0.1116,0.01085,0.00289,0.08478,0.02547
Korean,F,epr,epr_kor,5,1,con,polite,6.824,,214.1,214.6,30.6,141.8,299.7,157.8,92.72,92.94,2.52,6.05,19,12.95,65.6,63.7,34.2,0.01125,0.00283,0.00552,0.0007,0.08638,0.0841,0.02745,3.71,-15,-17.6,16,0.0975,0.01125,0.00283,0.08638,0.02745
Korean,F,epr,epr_kor,5,1,pan,casual,5.027,,239.3,238.2,37.3,155.4,334.9,179.6,94.62,94.76,2.7,7.63,20.93,13.3,69.9,67.5,33.3,0.00956,0.00228,0.00438,0.0007,0.08749,0.09581,0.02532,7.78,-11.7,-19,15.9,0.0782,0.00956,0.00228,0.08749,0.02532
Korean,F,epr,epr_kor,5,2,con,polite,7.276,,229.5,232.4,35.5,151.8,317.1,165.3,93.89,94.33,2.72,7.22,19.98,12.76,70.4,69.2,34.4,0.01057,0.00235,0.00427,0.0007,0.07583,0.07631,0.02422,1.52,-15.4,-15.4,17,0.0845,0.01057,0.00235,0.07583,0.02422
Korean,F,epr,epr_kor,5,2,pan,casual,5.877,,241.3,234.8,35.3,159,353.3,194.3,94.8,94.51,2.46,8.03,21.84,13.81,71.7,69.8,34.2,0.00873,0.00185,0.00373,0.0007,0.08169,0.09243,0.02487,1.78,-12.5,-17,16.5,0.0815,0.00873,0.00185,0.08169,0.02487
Korean,F,epr,epr_kor,5,3,con,polite,8.452,,237,232.6,40,149.3,343,193.6,94.42,94.34,2.9,6.94,21.34,14.39,69,67.7,35.1,0.0084,0.00214,0.00398,0.0008,0.08244,0.07326,0.03596,5.28,-14.3,-16.7,16.1,0.1043,0.0084,0.00214,0.08244,0.03596
